,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
2,Заглушка 630х10 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,630х10,Заглушка,Металлопрокат
0,Заглушка 700х6 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,700х6,Заглушка,Металлопрокат
0,Заглушка 700х8 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,700х8,Заглушка,Металлопрокат
0,Заглушка 700х10 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,700х10,Заглушка,Металлопрокат
0,Заглушка 700х12 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,700х12,Заглушка,Металлопрокат
0,Заглушка 800х6 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,800х6,Заглушка,Металлопрокат
0,Заглушка 800х8 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,800х8,Заглушка,Металлопрокат
0,Заглушка 800х10 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,800х10,Заглушка,Металлопрокат
0,Заглушка 800х12 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,800х12,Заглушка,Металлопрокат
0,Заглушка 900х6 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,900х6,Заглушка,Металлопрокат
0,Заглушка 900х8 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,900х8,Заглушка,Металлопрокат
0,Заглушка 900х10 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,900х10,Заглушка,Металлопрокат
0,Заглушка 900х12 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,900х12,Заглушка,Металлопрокат
0,Заглушка 1000х6 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1000х6,Заглушка,Металлопрокат
0,Заглушка 1000х8 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1000х8,Заглушка,Металлопрокат
0,Заглушка 1000х10 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1000х10,Заглушка,Металлопрокат
0,Заглушка 1000х12 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1000х12,Заглушка,Металлопрокат
0,Заглушка 1200х6 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1200х6,Заглушка,Металлопрокат
0,Заглушка 1200х8 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1200х8,Заглушка,Металлопрокат
0,Заглушка 1200х10 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1200х10,Заглушка,Металлопрокат
0,Заглушка 1200х12 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1200х12,Заглушка,Металлопрокат
0,Заглушка 1400х6 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1400х6,Заглушка,Металлопрокат
0,Заглушка 1400х8 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1400х8,Заглушка,Металлопрокат
0,Заглушка 1400х10 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1400х10,Заглушка,Металлопрокат
0,Заглушка 1400х12 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,1400х12,Заглушка,Металлопрокат
