,Наименование,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
2,Муфта ПНД 450 PN 12.5 SDR 13.6 ПЭ 100 электросварная EUROSTANDARD,27 400.30,Сантехкомплект Мск (495) 645-00-00,,Москва,450,Муфта ПНД,Металлопрокат
3,Муфта ПНД 450 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,36 805.70,Сантехкомплект Мск (495) 645-00-00,,Москва,450,Муфта ПНД,Металлопрокат
4,Муфта ПНД 450 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,36 805.70,Сантехкомплект Мск (495) 645-00-00,,Москва,450,Муфта ПНД,Металлопрокат
0,Муфта ПНД 500 SDR 11 электросварная,21 227.51,МК Промстройметалл Мск (495) 617-17-17,,Москва,500,Муфта ПНД,Металлопрокат
1,Муфта ПНД 500 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,55 325.40,Сантехкомплект Мск (495) 645-00-00,,Москва,500,Муфта ПНД,Металлопрокат
2,Муфта ПНД 500 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL500A,59 240.90,Сантехкомплект Мск (495) 645-00-00,,Москва,500,Муфта ПНД,Металлопрокат
0,Муфта ПНД 560 SDR 11 электросварная,29 535.84,МК Промстройметалл Мск (495) 617-17-17,,Москва,560,Муфта ПНД,Металлопрокат
1,Муфта ПНД 560 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,76 426.10,Сантехкомплект Мск (495) 645-00-00,,Москва,560,Муфта ПНД,Металлопрокат
0,Муфта ПНД 630 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,57 969.00,Сантехкомплект Мск (495) 645-00-00,,Москва,630,Муфта ПНД,Металлопрокат
1,Муфта ПНД 630 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,92 923.30,Сантехкомплект Мск (495) 645-00-00,,Москва,630,Муфта ПНД,Металлопрокат
2,Муфта ПНД 630 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL630A,107 721.00,Сантехкомплект Мск (495) 645-00-00,,Москва,630,Муфта ПНД,Металлопрокат
0,Муфта ПНД 710 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL710A,153 817.30,Сантехкомплект Мск (495) 645-00-00,,Москва,710,Муфта ПНД,Металлопрокат
