,Наименование,Длина,"Цена за 1т, руб. с НДС","Цена за 1т, руб. с НДС.1",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Арматура Ат800 14,11.7,54 500 >15т,54 500 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,14,Арматура Ат800,Металлопрокат
1,Арматура Ат800 14 налет,6.7,55 000,,СИБМЕТСНАБ Нск (383) 249-37-70,,Новосибирск,14,Арматура Ат800,Металлопрокат
2,Арматура Ат800 14,6.7,55 500 >15т,55 500 5-15т,Металлоторг Уфа (347) 287-52-73,,Уфа,14,Арматура Ат800,Металлопрокат
3,Арматура Ат800 14,7.6,55 500 >15т,55 500 5-15т,Металлоторг Уфа (347) 287-52-73,,Уфа,14,Арматура Ат800,Металлопрокат
4,Арматура Ат800 14,9.6,57 500 >15т,57 500 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,14,Арматура Ат800,Металлопрокат
5,Арматура Ат800 14,11.7,59 500 >15т,59 500 5-15т,Металлоторг Сам (846) 374-14-14,,Самара,14,Арматура Ат800,Металлопрокат
6,Арматура Ат800 14,6.7,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Яро (4852) 60-85-53,,Ярославль,14,Арматура Ат800,Металлопрокат
7,Арматура Ат800 14,7.6,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Яро (4852) 60-85-53,,Ярославль,14,Арматура Ат800,Металлопрокат
8,Арматура Ат800 14,6.7,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Мск (4912) 77-58-47,,Москва,14,Арматура Ат800,Металлопрокат
9,Арматура Ат800 14,7.6,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Мск (4912) 77-58-47,,Москва,14,Арматура Ат800,Металлопрокат
10,Арматура Ат800 14,6.7,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47,,Рязань,14,Арматура Ат800,Металлопрокат
11,Арматура Ат800 14,7.6,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47,,Рязань,14,Арматура Ат800,Металлопрокат
12,Арматура Ат800 14,6.7,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Тула (4872) 63-68-47,,Тула,14,Арматура Ат800,Металлопрокат
13,Арматура Ат800 14,7.6,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Тула (4872) 63-68-47,,Тула,14,Арматура Ат800,Металлопрокат
14,Арматура Ат800 14,6.7,61 800 >15т,62 100 5-15т,Металлоторг РнД (863) 303-13-10,,Ростов-на-Дону,14,Арматура Ат800,Металлопрокат
15,Арматура Ат800 14,11.7,61 800 >15т,62 100 5-15т,Металлоторг РнД (863) 303-13-10,,Ростов-на-Дону,14,Арматура Ат800,Металлопрокат
16,Арматура Ат800 14,7.6,61 800 >15т,62 100 5-15т,Металлоторг Вмр (4922) 52-22-44,,Владимир,14,Арматура Ат800,Металлопрокат
17,Арматура Ат800 14,6.7,61 800 >15т,62 100 5-15т,Металлоторг Вмр (4922) 52-22-44,,Владимир,14,Арматура Ат800,Металлопрокат
18,Арматура Ат800 14,7.6,61 800 >15т,62 100 5-15т,Металлоторг Яро (4852) 67-47-05,,Ярославль,14,Арматура Ат800,Металлопрокат
19,Арматура Ат800 14,11.7,61 800 >15т,62 100 5-15т,Металлоторг Уль (8422) 34-99-00,,Ульяновск,14,Арматура Ат800,Металлопрокат
20,Арматура Ат800 14,7.6,61 800 >15т,62 100 5-15т,Металлоторг Лип (4742) 75-89-66,,Липецк,14,Арматура Ат800,Металлопрокат
